,item_name,calories,protein,carbs,fat
9916,Basmati Rice,122.244,2.180,22.458,2.633
9917,Dal Makhani,248.676,17.910,43.853,14.986
9918,Farro Pilaf with White Beans,47.437,1.581,7.273,1.796
9919,Sauteed Spinach,21.171,2.035,2.768,0.845
9920,Veggie Burger Patty,170.000,7.000,21.000,6.0
9921,Blueberry Cheesecake Square,242.038,3.998,19.618,24.885
9925,Chicken Tenders,567.130,33.779,33.779,40.128
9926,Fries,307.980,2.700,31.050,23.31
9927,Loaded French Fries,541.805,5.995,38.605,48.735
9928,Mozzarella Sticks,452.954,17.627,28.351,38.673
9929,Beef Cheesesteak,259.200,30.780,4.860,15.39
9931,Chicken Cheesesteak,350.280,38.880,4.860,22.32
9932,Extra Beef Cheesesteak,129.600,15.390,2.430,7.695
9933,Extra Chicken Cheesesteak,175.140,19.440,2.430,11.16
9934,Extra Fried Breast of Chicken,276.120,15.876,17.010,18.639000000000003
9935,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
9936,Extra Provolone Cheese,101.250,7.088,1.013,12.151
9937,Fried Breast of Chicken,276.120,15.876,17.010,18.639000000000003
9938,Grilled Chicken Breast,94.709,19.796,0.010,1.722
9939,Grilled Onions,112.870,1.498,11.184,8.292
9940,Grilled Pepper Strips,32.926,0.627,4.571,1.883
9941,Half Provolone Cheese,101.250,7.088,1.013,12.151
9942,Provolone Cheese,202.500,14.176,2.026,24.302
9943,Ranch Dressing,59.091,0.096,0.233,7.201
9944,Sauteed Mushrooms,19.794,1.060,2.886,0.8879999999999999
9945,Sliced Bacon,201.600,14.400,0.000,24.48
9946,Veggie Burger,387.419,14.295,60.615,9.566
9947,Veggie Burger Patty,170.000,7.000,21.000,6.0
9948,Buffalo Chicken Pizza,3185.712,179.528,311.200,201.16
9949,Cheese Pizza,2627.528,133.416,305.032,155.424
9950,Pepperoni  Pizza,2913.296,144.328,305.696,191.704
9952,Chocolate Chip Pancakes,155.450,3.645,22.334,7.212
9953,"Egg, Sausage and Cheese Bagel",545.349,24.767,32.900,48.235
9954,Fried Egg & Cheese Croissant,417.900,13.826,27.371,39.542
9955,"Fried Egg, Cheese, & Bacon Bagel",573.502,31.493,32.266,51.272999999999996
9956,"Fried Egg, Cheese, Bacon Croissant",619.500,28.226,27.371,64.02199999999999
9957,"Fried Egg, Cheese, Sausage Croissant",620.400,22.939,28.384,64.855
9958,Fried Eggs,88.282,6.078,0.371,8.652
9959,Fried Eggs Breakfast Sandwich,88.282,6.078,0.371,8.652
9960,Pancakes,139.574,3.418,20.066,5.7379999999999995
9961,Scrambled Eggs,173.699,14.884,0.000,14.89
9962,Hash Browned Patty,137.778,0.984,14.762,9.349
9963,Sausage Patty,202.500,9.113,1.013,25.313000000000002
9964,Sliced Bacon,907.200,64.800,0.000,110.16
9965,Turkey Sausage Patty,85.095,7.564,0.000,8.51
9966,Vegan Breakfast Sausage Patty,139.959,11.997,5.998,6.998
9967,Extra Fried Egg,88.282,6.078,0.371,8.652
9968,Provolone Cheese,101.250,7.088,1.013,12.151
9969,Provolone Cheese,101.250,7.088,1.013,12.151
9970,Sausage Patty,202.500,9.113,1.013,25.313000000000002
9971,Sliced American Cheese,103.761,5.141,1.355,13.826
9972,Sliced American Cheese,103.761,5.141,1.355,13.826
9973,Sliced Bacon,201.600,14.400,0.000,24.48
9974,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
9975,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
9976,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
9978,Cheese Pizza Slice,328.441,16.677,38.129,19.428
9979,Pepperoni  Pizza Slice,364.162,18.041,38.212,23.963
9984,BBQ Sauce,51.786,0.000,13.464,0.0
9985,Baked Ham,135.000,18.900,4.052,5.404
9986,Balsamic Vinegar,37.620,0.210,7.280,0.0
9987,Banana Pepper Rings,7.654,0.470,1.516,0.14200000000000002
9988,Black Pepper,0.074,0.003,0.019,0.001
9989,Chicken Tenders,425.348,25.334,25.334,30.098000000000003
9990,Chipotle Mayonnaise,214.029,0.288,1.076,26.953
9991,Crushed Red Pepper,3.967,0.150,0.707,0.257
9992,Dill Pickle Chips,0.996,0.000,0.199,0.0
9993,Extra Baked Ham,67.500,9.450,2.026,2.702
9994,Extra Chicken Tenders,212.674,12.667,12.667,15.049000000000001
9995,Extra Genoa Salami,147.988,7.144,1.076,18.18
9996,Extra Grilled Chicken Strips,69.526,12.826,0.676,2.364
9997,Extra Italian Meats,93.853,8.864,1.825,7.531
9998,Extra Pepperoni,303.752,12.152,0.000,38.480000000000004
9999,Extra Roast Beef,92.988,16.132,0.000,3.56
10000,Extra Sliced Bacon,126.000,7.875,1.575,13.388
10001,Extra Sliced Turkey,60.750,10.126,2.026,1.518
10002,Extra Tuna Salad,147.381,13.349,0.840,11.453
10003,GF Sub Roll,470.000,12.000,76.000,15.0
10004,Genoa Salami,295.976,14.288,2.152,36.36
10005,Gluten Free Plain Wrap,220.000,6.000,45.000,11.0
10006,Grilled Chicken Strips,139.052,25.652,1.352,4.728
10007,Half Baked Ham,67.500,9.450,2.026,2.702
10008,Half Capicola,92.422,9.412,2.172,6.54
10009,Half Chicken Tenders,212.674,12.667,12.667,15.049000000000001
10010,Half Genoa Salami,147.988,7.144,1.076,18.18
10011,Half Grilled Chicken Strips,69.526,12.826,0.676,2.364
10012,Half Italian Meats,93.853,8.864,1.825,7.531
10013,Half Roast Beef,92.988,16.132,0.000,3.56
10014,Half Sliced Bacon,220.500,13.781,2.756,23.429000000000002
10015,Half Sliced Turkey,60.750,10.126,2.026,1.518
10016,Half Tuna Salad,147.381,13.349,0.840,11.453
10017,Half White Sub Roll,128.000,4.000,26.000,0.5
10018,Hoagie Roll Half Whole Wheat,243.043,7.478,48.609,1.87
10019,Hoagie Roll White Whole,256.000,8.000,52.000,1.0
10020,Hoagie Roll Whole Wheat Whole,486.087,14.957,97.217,3.739
10021,Honey Mustard,141.230,0.265,7.101,13.950000000000001
10022,Honey Wheat Wrap,230.000,8.000,44.000,7.5
10023,Hot Sauce,3.554,0.165,0.565,0.137
10024,Italian Dressing,153.076,0.727,0.553,18.608999999999998
10025,Italian Meats,187.705,17.728,3.650,15.062
10026,Mayonnaise,189.000,0.000,0.000,23.626
10027,Mustard Yellow,0.000,0.000,0.000,0.0
10028,Olive Oil,7.934,0.300,1.413,0.513
10029,Oregano,2.084,0.071,0.542,0.046
10030,Pepperoni,607.504,24.304,0.000,76.96000000000001
10031,Pizza Sauce,17.685,0.714,2.836,0.528
10032,Plain Wrap,260.000,8.000,47.000,7.5
10033,Pretzel Roll,300.000,10.000,54.000,7.0
10034,Provolone Cheese,101.250,7.088,1.013,12.151
10035,Provolone Cheese,101.250,7.088,1.013,12.151
10036,Provolone Cheese,202.500,14.176,2.026,24.302
10037,Ranch Dressing,118.182,0.192,0.466,14.401
10038,Roast Beef,185.976,32.264,0.000,7.12
10039,Salt,0.000,0.000,0.000,0.0
10040,Shredded Lettuce,3.969,0.255,0.841,0.045
10041,Sliced American Cheese,103.761,5.141,1.355,13.826
10042,Sliced American Cheese,103.761,5.141,1.355,13.826
10043,Sliced American Cheese,207.522,10.281,2.709,27.651
10044,Sliced Bacon,441.000,27.561,5.511,46.858
10045,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
10046,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
10047,Sliced Cheddar Cheese,228.826,14.176,0.000,30.374000000000002
10048,Sliced Green Peppers,5.670,0.244,1.315,0.064
10049,Sliced Jalapeno Peppers,7.655,0.261,1.344,0.29300000000000004
10050,Sliced Onions,11.340,0.312,2.648,0.04
10051,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
10052,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
10053,Sliced Pepper Jack Cheese,202.500,12.150,2.026,26.326
10054,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
10055,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
10056,Sliced Swiss Cheese Cheese,222.832,15.286,0.816,27.906
10057,Sliced Tomatoes,3.408,0.166,0.736,0.044
10058,Sliced Turkey,121.500,20.252,4.052,3.036
10060,Tuna Salad,294.762,26.697,1.680,22.905
10062,Chicken Noodle Soup 12 ozl,121.654,15.906,8.624,2.844
10063,Chicken Noodle Soup 8 ozl,81.103,10.604,5.749,1.896
10064,Ravioli w/ Shrimp & Lobster Cream Sauce,716.939,29.547,61.861,59.184
10065,Smoked Beef Brisket Sandwich,734.927,50.691,75.188,46.351
10066,Steak Fries,193.520,3.519,33.426,7.037
10067,Tuscan Garden Vegetables,35.746,1.302,3.578,2.513
10068,Chicken Parm Panini,784.275,35.465,96.736,35.099000000000004
10074,BBQ Sauce,51.786,0.000,13.464,0.0
10075,Baby Spinach,6.521,0.811,1.029,0.129
10076,Baked Ham,135.000,18.900,4.052,5.404
10077,Banana Pepper Rings,7.654,0.470,1.516,0.14200000000000002
10078,Black Pepper,0.074,0.003,0.019,0.001
10079,Caesar Dressing,173.609,0.695,1.057,21.345000000000002
10080,Capicola,184.844,18.824,4.344,13.08
10081,Chicken Tenders,425.348,25.334,25.334,30.098000000000003
10082,Chipotle Mayonnaise,214.029,0.288,1.076,26.953
10083,Crushed Red Pepper,5.289,0.200,0.942,0.34099999999999997
10084,Dill Pickle Chips,0.996,0.000,0.199,0.0
10085,Dill Pickle Spear,4.200,0.175,0.844,0.133
10086,Dried Basil,1.832,0.181,0.375,0.049
10087,Extra Baked Ham,67.500,9.450,2.026,2.702
10088,Extra Capicola,92.422,9.412,2.172,6.54
10089,Extra Chicken Tenders,212.674,12.667,12.667,15.049000000000001
10090,Extra Genoa Salami,147.988,7.144,1.076,18.18
10091,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
10092,Extra Italian Meats,93.853,8.864,1.825,7.531
10093,Extra Roast Beef,92.988,16.132,0.000,3.56
10094,Extra Sliced Bacon,302.400,21.600,0.000,36.72
10095,Extra Sliced Turkey,60.750,10.126,2.026,1.518
10096,Extra Tuna Salad,147.381,13.349,0.840,11.453
10097,GF Sub Roll,470.000,12.000,76.000,15.0
10098,GF Sub Roll,235.000,6.000,38.000,7.5
10099,Garlic Salt,0.000,0.000,0.000,0.0
10100,Genoa Salami,295.976,14.288,2.152,36.36
10101,Gluten Free Bread,196.364,2.182,39.272,6.545999999999999
10102,Gluten Free Plain Wrap,220.000,6.000,45.000,11.0
10103,Grated Parmesan Cheese,14.884,1.007,0.493,1.532
10104,Grilled Chicken Breast,189.418,39.592,0.020,3.444
10105,Half Baked Ham,67.500,9.450,2.026,2.702
10106,Half Capicola,92.422,9.412,2.172,6.54
10107,Half Chicken Tenders,212.674,12.667,12.667,15.049000000000001
10108,Half Genoa Salami,147.988,7.144,1.076,18.18
10109,Half Grilled Chicken Breast,94.709,19.796,0.010,1.722
10110,Half Italian Meats,93.853,8.864,1.825,7.531
10111,Half Roast Beef,92.988,16.132,0.000,3.56
10112,Half Sliced Turkey,60.750,10.126,2.026,1.518
10113,Half Tuna Salad,147.381,13.349,0.840,11.453
10114,Half White Sub Roll,128.000,4.000,26.000,0.5
10115,Hoagie Roll Half Whole Wheat,243.043,7.478,48.609,1.87
10116,Hoagie Roll White Whole,256.000,8.000,52.000,1.0
10117,Hoagie Roll Whole Wheat Whole,486.087,14.957,97.217,3.739
10118,Honey Mustard,141.230,0.265,7.101,13.950000000000001
10119,Honey Wheat Wrap,230.000,8.000,44.000,7.5
10120,Hot Sauce,3.554,0.165,0.565,0.137
10121,Italian Dressing,75.300,0.129,3.803,7.551
10122,Italian Meats,187.705,17.728,3.650,15.062
10123,Mayonnaise,189.000,0.000,0.000,23.626
10124,Multigrain Artisan Bread,329.444,11.196,55.198,7.8420000000000005
10125,Mustard Yellow,0.000,0.000,0.000,0.0
10126,Olive Oil,235.918,0.000,0.000,30.372999999999998
10127,Oregano,2.084,0.071,0.542,0.046
10128,Panini Bread,397.770,12.754,76.178,4.436
10129,Plain Wrap,260.000,8.000,47.000,7.5
10130,Provolone Cheese,101.250,7.088,1.013,12.151
10131,Provolone Cheese,101.250,7.088,1.013,12.151
10132,Provolone Cheese,202.500,14.176,2.026,24.302
10133,Ranch Dressing,118.182,0.192,0.466,14.401
10134,Red Wine Vinegar,5.464,0.012,0.076,0.0
10135,Roast Beef,185.976,32.264,0.000,7.12
10136,Salt,0.000,0.000,0.000,0.0
10137,Shredded Lettuce,3.969,0.255,0.841,0.045
10138,Sliced American Cheese,103.761,5.141,1.355,13.826
10139,Sliced American Cheese,103.761,5.141,1.355,13.826
10140,Sliced American Cheese,207.522,10.281,2.709,27.651
10141,Sliced Bacon,604.800,43.200,0.000,73.44
10142,Sliced Bacon,302.400,21.600,0.000,36.72
10143,Sliced Black Olives,32.602,0.238,1.774,3.43
10144,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
10145,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
10146,Sliced Cheddar Cheese,228.826,14.176,0.000,30.374000000000002
10147,Sliced Cucumber,4.253,0.184,1.029,0.041
10148,Sliced Green Peppers,5.670,0.244,1.315,0.064
10149,Sliced Jalapeno Peppers,7.655,0.261,1.344,0.29300000000000004
10150,Sliced Onions,11.340,0.312,2.648,0.04
10151,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
10152,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
10153,Sliced Pepper Jack Cheese,202.500,12.150,2.026,26.326
10154,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
10155,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
10156,Sliced Swiss Cheese Cheese,222.832,15.286,0.816,27.906
10157,Sliced Tomatoes,3.408,0.166,0.736,0.044
10158,Sliced Turkey,121.500,20.252,4.052,3.036
10159,Sourdough Bread,290.538,9.680,58.480,1.556
10160,Tuna Salad,294.762,26.697,1.680,22.905
10161,Onion Rings,523.674,4.378,49.419,40.566
10162,Smokehouse Burger,1046.019,52.277,64.854,91.214
10163,Battered Fish Sandwich,764.251,21.173,57.991,55.07
10164,Beef Hot Dog,312.125,11.075,27.025,23.275
10165,Beyond Burger,497.419,27.295,45.615,29.566
10166,Beyond Cheeseburger,549.300,29.865,46.293,36.479
10167,Beyond Double Burger,777.419,47.295,51.615,55.566
10168,Beyond Double Cheeseburger,881.180,52.436,52.970,69.39099999999999
10169,Black Bean Burger,378.382,20.373,57.723,10.608
10173,Cheeseburger Single,664.215,33.574,41.976,55.133
10174,Chicken Tenders,567.130,33.779,33.779,40.128
10175,Double Cheeseburger,1066.297,59.882,42.618,101.998
10176,Double Hamburger Single,962.536,54.742,41.263,88.172
10177,Fried Chicken Sandwich,610.819,29.494,57.218,36.308
10178,Fries,307.980,2.700,31.050,23.31
10179,Gluten Free Grilled Cheese Sandwich,368.353,9.033,41.077,31.375
10180,Grilled Cheese PSU,831.788,33.309,78.254,64.863
10181,Grilled Cheese Sandwich,200.178,8.062,4.036,27.28
10182,Grilled Chicken Breast,94.709,19.796,0.010,1.722
10183,Grilled Chicken Sandwich,429.408,33.414,40.218,19.391
10184,Hamburger Single,612.154,31.034,41.263,48.243
10185,Mozzarella Sticks,452.954,17.627,28.351,38.673
10186,Small Chicken Tenders & Fries,514.550,18.914,40.177,37.548
10187,5 oz. Hamburger,350.382,23.708,0.000,39.929
10188,Beef Cheesesteak,259.200,30.780,4.860,15.39
10189,Beef Cheesesteak Half,129.600,15.390,2.430,7.695
10190,Beyond Burger,280.000,20.000,6.000,26.0
10191,Black Bean Burger,160.963,13.078,18.108,7.042
10192,Chicken Cheesesteak,350.280,38.880,4.860,22.32
10193,Chicken Cheesesteak Half,175.140,19.440,2.430,11.16
10194,Dill Pickle Chips,0.996,0.000,0.199,0.0
10195,Extra 5 oz. Hamburger,350.382,23.708,0.000,39.929
10196,Extra Beef Cheesesteak,129.600,15.390,2.430,7.695
10197,Extra Beyond Burger,280.000,20.000,6.000,26.0
10198,Extra Black Bean Burger,160.963,13.078,18.108,7.042
10199,Extra Chicken Cheesesteak,175.140,19.440,2.430,11.16
10200,Extra Fried Breast of Chicken,276.120,15.876,17.010,18.639000000000003
10201,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
10202,GF Hamburger Roll,485.714,7.286,99.571,6.071
10203,GF Sub Roll,470.000,12.000,76.000,15.0
10204,Grilled Onions,112.870,1.498,11.184,8.292
10205,Grilled Pepper Strips,32.926,0.627,4.571,1.883
10206,Half White Sub Roll,128.000,4.000,26.000,0.5
10207,Hoagie Roll Half Whole Wheat,243.043,7.478,48.609,1.87
10208,Hoagie Roll White Whole,256.000,8.000,52.000,1.0
10209,Hoagie Roll Whole Wheat Whole,486.087,14.957,97.217,3.739
10210,Ketchup,33.353,0.000,8.338,0.0
10211,Mayonnaise,189.000,0.000,0.000,23.626
10212,Potato Roll,210.000,7.000,38.000,3.5
10213,Provolone Cheese,101.250,7.088,1.013,12.151
10214,Provolone Cheese,101.250,7.088,1.013,12.151
10215,Provolone Cheese,202.500,14.176,2.026,24.302
10216,Shredded Lettuce,3.969,0.255,0.841,0.045
10217,Sliced American Cheese,103.761,5.141,1.355,13.826
10218,Sliced American Cheese,103.761,5.141,1.355,13.826
10219,Sliced American Cheese,207.522,10.281,2.709,27.651
10220,Sliced Bacon,201.600,14.400,0.000,24.48
10221,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
10222,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
10223,Sliced Cheddar Cheese,228.826,14.176,0.000,30.374000000000002
10224,Sliced Monterey Jack Cheese,116.943,6.379,1.063,13.821000000000002
10225,Sliced Monterey Jack Cheese,116.943,6.379,1.063,13.821000000000002
10226,Sliced Monterey Jack Cheese,233.886,12.758,2.126,27.642000000000003
10227,Sliced Onions,11.340,0.312,2.648,0.04
10228,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
10229,Sliced Pepper Jack Cheese,101.250,6.075,1.013,13.163
10230,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
10231,Sliced Swiss Cheese Cheese,111.416,7.643,0.408,13.953
10232,Sliced Swiss Cheese Cheese,222.832,15.286,0.816,27.906
10233,Sliced Tomatoes,3.408,0.166,0.736,0.044
10234,Stromboli,510.427,26.231,63.095,25.448
10235,Beef Taco Salad,607.298,24.527,54.014,45.364
10238,Bananas,107.085,1.311,27.481,0.532
10239,Chicken Tenders,141.783,8.445,8.445,10.033
10240,Extra Chicken Tenders,283.565,16.889,16.889,20.064999999999998
10241,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
10242,Feta Cheese,74.844,4.028,1.160,10.27
10243,Grilled Chicken Breast,94.709,19.796,0.010,1.722
10244,Oranges,118.440,2.369,29.610,0.33999999999999997
10245,Red Apple,164.320,0.822,43.640,0.625
10246,Cheese Pizza,2627.528,133.416,305.032,155.424
10247,Cheese Pizza Slice,328.441,16.677,38.129,19.428
10248,Gluten Free Cheese Pizza,612.791,19.073,80.264,35.979
10249,Pepperoni  Pizza,2913.296,144.328,305.696,191.704
10250,Pepperoni  Pizza Slice,364.162,18.041,38.212,23.963
10254,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
10255,Artichoke Hearts,14.459,0.819,3.229,0.118
10256,Bacon Bits,132.300,9.450,0.000,16.064999999999998
10257,Broccoli Florets,7.938,0.845,1.435,0.114
10258,Carrots,11.624,0.264,2.716,0.078
10259,Cauliflower Florettes,7.088,0.544,1.409,0.11599999999999999
10260,Chick Peas,15.702,0.785,2.748,0.294
10261,Croutons,65.914,1.531,9.001,3.338
10262,Edamame,40.024,3.669,3.002,2.1679999999999997
10263,Feta Cheese,74.844,4.028,1.160,10.27
10264,GrapeTomatoes,3.063,0.150,0.663,0.039
10265,Hard Boiled Eggs Sliced,68.200,5.535,0.493,6.105
10266,Italian Baked Tofu,55.949,2.679,2.316,4.589
10267,Quinoa,171.409,6.052,29.241,2.521
10268,Romaine,24.100,1.745,4.665,0.48
10269,Shredded Cheddar Cheese,111.375,6.075,1.013,14.175
10270,Shredded Mozzarella Cheese,95.175,6.581,1.013,11.644
10271,Sliced Cucumber,4.253,0.184,1.029,0.041
10272,Sliced Green Peppers,5.670,0.244,1.315,0.064
10273,Sliced Mushrooms,7.088,0.530,1.443,0.093
10274,Sliced Red Onions,5.670,0.156,1.324,0.02
10275,Spring Salad Mix,13.342,1.334,2.002,0.0
10276,Beef Gyro Bowl,530.107,19.415,60.712,58.456
10277,Beef Gyro Rolled Flat Bread,273.234,12.480,16.704,51.207
10278,Falafel Rolled Flat Bread,514.215,14.875,61.967,29.739
10279,Falafel and Rice Bowl,516.088,12.810,65.975,27.988
10280,Halal Rice Bowl,323.202,9.468,50.765,12.698
10281,Turkish Chicken Shawarma Bowl,538.454,39.008,51.782,24.742
10282,Turkish Chicken Shawarma Rolled Flat Bread,536.581,41.073,47.774,26.493
10283,Beef Gyro,103.453,4.974,4.974,22.879
10284,Diced Cucumbers,3.402,0.167,0.612,0.049
10285,Diced Red Onions,11.340,0.312,2.648,0.04
10286,Falafel,96.443,1.671,7.605,7.6450000000000005
10287,Garlic Flatbread Chips w/Hummus,752.276,16.372,57.596,62.516000000000005
10288,Garlic Flatbread Chips w/Tzatziki,524.246,13.454,52.630,37.897999999999996
10289,Sliced Black Olives,32.602,0.238,1.774,3.43
10290,Sliced Jalapeno Peppers,7.655,0.261,1.344,0.29300000000000004
10291,Turkish Chicken Shawarma,107.626,14.770,0.509,6.022
10292,Turkish Garlic Sauce,316.290,0.646,3.772,37.592
10293,Turkish Hot Sauce,178.708,0.864,4.110,20.886
10294,Cheese Pizza,328.441,16.677,38.129,19.428
10295,Pepperoni  Pizza,364.162,18.041,38.212,23.963
10296,Garlic & Cheese Bread Sticks,174.441,4.153,22.172,10.799
10297,Meat Sauce,96.282,5.002,7.635,6.087
10298,Milano Sauce,45.630,0.762,7.605,1.14
10299,Penne Pasta,145.662,5.160,29.371,0.992
10300,Fresh Fish: Please ask about allergens,141.342,30.699,0.000,1.381
10301,Grilled Lime Chicken Thigh,282.154,28.103,0.071,21.98
10302,Shepherd's Pie,374.236,21.866,30.678,26.061
10303,Veggie Burger,283.333,10.333,43.667,7.0
10304,Chef's Choice Starch,0.000,0.000,0.000,0.0
10305,Chef's Choice Vegetable,0.000,0.000,0.000,0.0
10306,Sauteed Garlicky Bok Choy,21.189,1.339,2.375,1.093
10307,Chocolate Chocolate Chip Cookie,128.499,1.788,18.521,10.011
10308,Rocky Road Cake,64.538,0.801,8.941,4.534000000000001
10309,5 oz. Hamburger,350.382,23.708,0.000,39.929
10310,Avocado Mayonnaise,122.850,0.472,0.945,14.648
10311,Dill Pickle Chips,0.996,0.000,0.199,0.0
10312,Extra 5 oz. Hamburger,350.382,23.708,0.000,39.929
10313,Extra Fried Breast of Chicken,276.120,15.876,17.010,18.639000000000003
10314,Extra Grilled Chicken Breast,94.709,19.796,0.010,1.722
10315,Extra Veggie Burger Patty,170.000,7.000,21.000,6.0
10316,Fried Breast of Chicken,276.120,15.876,17.010,18.639000000000003
10317,GF Hamburger Roll,485.714,7.286,99.571,6.071
10318,Grilled Chicken Breast,94.709,19.796,0.010,1.722
10319,Hot Wing Sauce,43.129,0.171,0.597,7.636
10320,Ketchup,33.353,0.000,8.338,0.0
10321,Mayonnaise,189.000,0.000,0.000,23.626
10322,Potato Roll,210.000,7.000,38.000,3.5
10323,Provolone Cheese,101.250,7.088,1.013,12.151
10324,Ranch Dressing,118.182,0.192,0.466,14.401
10325,Shredded Lettuce,3.969,0.255,0.841,0.045
10326,Sliced American Cheese,103.761,5.141,1.355,13.826
10327,Sliced Bacon,201.600,14.400,0.000,24.48
10328,Sliced Cheddar Cheese,114.413,7.088,0.000,15.187000000000001
10329,Sliced Monterey Jack Cheese,116.943,6.379,1.063,13.821000000000002
10330,Sliced Onions,11.340,0.312,2.648,0.04
10331,Sliced Tomatoes,3.408,0.166,0.736,0.044
10332,Veggie Burger Patty,170.000,7.000,21.000,6.0
10333,Fried Chipotle Ranch Chicken Bacon Sandwich,951.984,45.061,58.656,78.91499999999999
10334,Grilled Chipotle Ranch Chicken Bacon Sandwich,770.573,48.981,41.656,61.998000000000005
10335,Cream Puff,579.000,12.400,45.400,55.3
10336,Linzer Tart,181.573,2.977,22.424,12.8
10339,Cheeseburger Single,664.215,33.574,41.976,55.133
10340,Chicken Tenders,567.130,33.779,33.779,40.128
10341,Double Cheeseburger,1066.297,59.882,42.618,101.998
10342,Fries,307.980,2.700,31.050,23.31
10343,Hamburger Single,612.154,31.034,41.263,48.243
10344,Mozzarella Sticks,452.954,17.627,28.351,38.673
10345,Veggie Burger,387.419,14.295,60.615,9.566
10347,Grilled Onions & Peppers,20.486,0.393,2.911,1.079
10348,Pollo Asado,162.234,23.733,3.399,8.952
10349,Pork Carnitas,343.015,23.760,0.000,35.478
10350,Primavera Vegetables,27.282,0.782,4.476,1.0070000000000001
10351,Soft Flour Tortilla,80.000,2.000,13.000,1.5
10352,Southwestern Rice,89.978,2.126,19.381,0.20199999999999999
10353,Steamed Green Beans,20.321,1.081,4.681,0.155
10354,California Turkey Cheeseburger,486.316,28.907,22.104,40.018
10355,Grilled Chicken,203.020,28.079,0.009,11.864
10356,Seasoned Curly Fries,209.151,2.001,18.011,16.887999999999998
10357,Grilled Chicken,203.020,28.079,0.009,11.864
10358,Primavera Vegetables,27.282,0.782,4.476,1.0070000000000001
10359,Roasted Garlic Mashed Potatoes,144.641,1.601,13.231,16.227
10360,Triple Grain Pilaf,93.912,2.120,16.246,3.088
10361,Vegan Taco Filling,169.069,17.874,12.411,8.088
10362,Veggie Burger,283.333,10.333,43.667,7.0
10363,Whole Baby Carrots,27.413,0.430,5.727,0.593
10364,Amish Chicken Corn Chowder,240.490,13.608,18.086,19.309
10365,Chow Mein Noodles,131.625,3.038,18.225,8.1
10366,Spicy Sriracha Sweet Chili Sacue,48.516,0.000,11.396,0.0
10367,Teriyaki Sauce,38.914,0.971,8.429,0.241
10368,Thai Stir Fry Sauce w/  Peanut & Coconut,85.015,2.693,2.528,10.176
10369,Chicken Caesar Salad,128.508,9.077,3.422,10.449
10370,Alfredo Sauce ,233.394,3.808,2.796,38.718
10371,Cheese Pizza,181.279,8.302,20.913,10.504999999999999
10372,Garlic & Cheese Bread Sticks,174.441,4.153,22.172,10.799
10373,Milano Sauce,15.210,0.254,2.535,0.38
10374,Penne Pasta,145.662,5.160,29.371,0.992
10375,Pepperoni Pizza,217.000,9.666,20.997,15.04
10376,Vodka Pizza w/ Sausage & Red Peppers,135.989,7.586,2.032,15.058
10377,Salsa Roja,10.579,0.369,1.784,0.238
10378,Shredded Cheddar Cheese,111.375,6.075,1.013,14.175
10379,Shredded Lettuce,2.977,0.191,0.631,0.034
10380,Sour Cream,80.933,0.997,1.893,12.053999999999998
10381,Chocolate Chocolate Chip Cookie,128.499,1.788,18.521,10.011
10382,Fresh Baked Chocolate Chip Cookies,311.914,3.284,39.765,24.311999999999998
10383,Mexican Chocolate Cake,403.570,3.618,62.227,24.281
10384,CYO Bahn Mi,0.000,0.000,0.000,0.0
10385,CYO Bao Bun,0.000,0.000,0.000,0.0
10386,"CYO Rice, Fried Rice, or Noodle Bowl",0.000,0.000,0.000,0.0
10387,Crab Rangoon Large,1460.000,25.000,125.000,112.5
10388,Crispy Teriyaki Chicken w/Jasmine Rice,584.618,29.655,68.733,22.745
10389,Dim Sum Platter,928.597,25.687,146.677,33.911
10390,Hibachi Fried Rice,318.223,6.307,33.441,20.42
10391,Jasmine Rice,305.717,6.325,66.248,0.8400000000000001
10392,Pork Belly Ramen,797.701,38.318,74.996,47.981
